id,topic,treatment,submission,duration,accuracy_local,accuracy_global,effort,difficulty,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,global_cohesion,color_coding,cmap
ha26sa57,draft,cmap-integrated,2017-12-20T15:19:38Z,483.829,63,72,3,8,5,1,0.5,20,2,2,55,2,color_coding,cmap
ha26sa57,revision,cmap-integrated,2017-12-20T15:19:38Z,949.034,84,82,2,6,6,1,0.6,27,3,2,89,3.5,color_coding,cmap
he01an88,transfer,control-group,2018-01-19T14:38:18Z,870.415,98,98,1,6,21,3,0.3,49,6,14,93,4,no_color_coding,no-cmap
he01an88,draft,control-group,2018-01-19T14:19:14Z,493.21,71,92,4,8,11,2,0.5,15,5,5,23,2.5,no_color_coding,no-cmap
he01an88,revision,control-group,2018-01-19T14:19:14Z,1171.488,97,96,2,9,13,1,0.666666666667,17,8,4,31,3.5,no_color_coding,no-cmap
he02le59,transfer,control-group,2017-12-12T20:45:34Z,684.627,88,83,3,2,6,1,0.4,22,2,3,40,1,no_color_coding,no-cmap
he02le59,draft,control-group,2017-12-12T20:27:09Z,923.915,78,47,3,7,8,1,0.571428571429,17,4,3,48,2,no_color_coding,no-cmap
he02le59,revision,control-group,2017-12-12T20:27:09Z,1075.615,89,83,3,2,11,2,0.6,24,6,4,49,2.5,no_color_coding,no-cmap
he03an71,transfer,control-group,2018-06-04T16:17:20Z,908.88,76,93,2,4,11,1,0.6,34,6,4,65,3,no_color_coding,no-cmap
he03an71,draft,integrated,2018-06-04T15:46:16Z,835.515,64,68,2,7,11,1,0.6,26,6,4,42,3.5,color_coding,no-cmap
he03an71,revision,integrated,2018-06-04T15:46:16Z,975.95,67,77,1,6,17,1,0.625,31,10,6,55,4,color_coding,no-cmap
he06mo23,transfer,control-group,2018-02-22T16:59:32Z,1132.746,55,35,4,2,13,1,0.666666666667,20,8,4,46,3,no_color_coding,no-cmap
he06mo23,draft,integrated,2018-02-22T16:39:36Z,895.775,37,56,2,4,7,1,0.833333333333,22,5,1,60,2.5,color_coding,no-cmap
he06mo23,revision,integrated,2018-02-22T16:39:36Z,940.084,15,82,1,2,10,1,0.777777777778,29,7,2,57,3,color_coding,no-cmap
he09an29,transfer,control-group,2018-05-28T15:54:28Z,734.676,89,81,3,3,13,2,0.583333333333,34,7,5,75,3,no_color_coding,no-cmap
he09an29,draft,cmap,2018-05-28T15:38:43Z,574.621,60,50,4,4,8,1,0.714285714286,24,5,2,70,2,no_color_coding,cmap
he09an29,revision,cmap,2018-05-28T15:38:43Z,784.014,90,70,3,6,11,1,0.7,27,7,3,69,2,no_color_coding,cmap
he10co62,transfer,control-group,2018-03-14T10:43:40Z,905.445,65,70,2,6,11,1,1,33,10,0,78,1.5,no_color_coding,no-cmap
he10co62,draft,cmap-integrated,2018-03-14T10:23:57Z,908.14,40,40,3,1,11,1,0.5,20,5,5,47,1.5,color_coding,cmap
he10co62,revision,cmap-integrated,2018-03-14T10:23:57Z,943.168,80,80,3,6,11,1,0.5,27,5,5,56,1.5,color_coding,cmap
he10ka68,transfer,control-group,2018-01-31T11:25:10Z,902.443,30,38,2,4,13,2,0.583333333333,25,7,5,36,2.5,no_color_coding,no-cmap
he10ka68,draft,integrated,2018-01-31T11:06:25Z,909.785,13,64,2,6,10,1,0.777777777778,16,7,2,39,2.5,color_coding,no-cmap
he10ka68,revision,integrated,2018-01-31T11:06:25Z,929.153,50,90,1,2,10,1,0.444444444444,20,4,5,43,3,color_coding,no-cmap
iw04al88,transfer,control-group,2018-01-24T09:30:09Z,964.601,63,73,3,4,12,2,0.454545454545,42,5,6,97,2.5,no_color_coding,no-cmap
iw04al88,draft,cmap-integrated,2018-01-24T09:09:02Z,910.484,64,56,3,5,9,2,0.375,25,3,5,63,2.5,color_coding,cmap
iw04al88,revision,cmap-integrated,2018-01-24T09:09:02Z,489.557,81,72,3,5,10,1,0.444444444444,31,4,5,74,3.5,color_coding,cmap
ka11in59,transfer,control-group,2017-12-21T15:42:17Z,902.542,69,70,3,2,11,3,0.3,26,3,7,38,2,no_color_coding,no-cmap
ka11in59,draft,integrated,2017-12-21T15:21:53Z,905.025,40,42,3,2,8,2,0.571428571429,19,4,3,37,2.5,color_coding,no-cmap
ka11in59,revision,integrated,2017-12-21T15:21:53Z,897.554,64,34,3,3,9,1,0.875,25,7,1,73,2.5,color_coding,no-cmap
ka18an89,transfer,control-group,2018-02-14T10:55:25Z,993.776,27,7,2,2,6,4,0.2,27,1,4,31,0.5,no_color_coding,no-cmap
ka18an89,draft,cmap-integrated,2018-02-14T10:33:49Z,912.931,27,31,3,2,4,2,0.333333333333,12,1,2,18,1,color_coding,cmap
